Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
2,2,3,0,225.27,50.22,111,240.75,52.22,99,481.61,116.39,112,508.33,129.67,103
2,1,5,0,191,25,105,171,32,110,341,98,115,460,35,111
2,1,3,0,232.7,42,80,217,58,90,434,138,101,596.1,172.4,110
1,1,1,0,231.6,52.2,101,186.2,56,116,394,140.6,141,570.9,210.7,223
1,1,1,0,199.35,45.48,102,172.55,43.9,99,322.78,86.73,110,384.74,118.96,111
1,1,5,0,229.9,67.02,110,176.53,40.97,110,430.64,171.53,110,537.84,210.4,110
1,4,1,0,189.1,35.91,127,162.41,34.6,109,356.17,118.12,120,515.16,194.37,148
1,3,1,0,223,49.35,82,178.47,25.02,97,403.23,87.33,91,645.52,182.33,120
1,3,3,0,231,65.5,50,209,119,50,327,95.4,100,421,116,100
1,1,1,0,215.99,78.73,100,210.28,83.99,100,499.41,184.56,100,708.11,332.42,100
1,4,1,0,170.6,34.7,60,183.7,36,64,341.4,79.8,127,429.6,89.2,120
2,1,3,0,204.8,36.3,100,187.6,66.5,100,294.8,101.9,150,429.3,256,200
1,3,1,0,210.25,47.38404267,103,167.462963,72.31674489,108,367.2616,144.427,105,428.1287,137.864,100
2,1,1,0,201,49,102,168,34,102,489,141,112,672,189,104
1,5,1,0,201.12,36.34,100,156.04,19,100,318.13,79.66,100,423.99,102.7,100
1,1,1,0,308,101,50,259,122,50,421,143,172,574,218,174
1,2,2,0,212.7,30.56,60,189,99.9,60,313.9,111.2,150,299.7,127.4,150
1,2,5,0,204.5,22.48,138,178.5,26.48,130,442.8,149.76,111,552.3,174.13,123
1,1,4,0,188.78,29.65,59,191.58,37.33,55,368.41,115.68,125,446.44,134.2,153
1,3,1,0,246,76,100,197,44,100,386,88,100,515,164,100
1,2,5,0,186.6,12.15,113,167.28,20.98,99,302.21,71.42,116,448.44,87.93,127
2,2,1,0,220,56.7,70,178,47.3,81,354,117,227,520,206,296
2,5,4,0,201,4.24,117,218.52,61.06,115,431.01,167.17,157,467.26,136.75,137
1,3,1,5,194,30,127,165,35,150,304,63,103,441,140,143
1,4,5,0,201,35,100,180,30,100,340,149,100,373,129,100
1,2,3,0,190.4351852,38.03294701,100,220.6238532,112.4509099,100,478.625,289.9300376,100,630.8173077,211.6843516,100
1,1,3,0,231,69,100,190,65,100,450,122,100,594,219,100
1,4,3,0,231.1,62.5,55,181.8,60.8,55,367.5,86.4,110,476.4,121.6,110
1,5,2,0,226.32,63.94,104,184.59,47.61,86,323.63,105.35,97,394.5,77.78,122
2,2,3,0,204.31,13.45,60,172.37,21.21,60,370.37,76.9,130,419.11,86.41,130
2,1,1,0,236,42,99,209,46,101,365,97,100,605,213,100
1,1,1,0,195.58,61.2,212,171.03,51.06,420,287.34,83.37,212,337.15,117.51,166
2,1,4,0,254.64,64.431,100,245.22,75.76,100,380.29,119.62,100,451.68,133.086,100
1,1,4,0,191.0945946,21.98412752,74,165.0133333,18.88385083,75,286.296,43.58091766,125,374.5757576,73.45975204,132
1,4,2,0,206,20,100,200,57,100,385,119,100,506,141,100
1,2,4,0,267,90.6,50,183.42,55.8,50,353.2,121.5,100,549.3,214.1,100
1,1,4,0,211.2763158,23.93005085,76,183.5189873,23.68776897,79,372.8580247,103.5475001,159,434.3643411,91.97210042,126
1,2,1,0,238.5,50.89,68,169.66,104.66,51,438.79,121.5,101,520.74,129.2,100
1,5,5,0,208.6,28.6,100,185.3,47.9,100,364.3,81.6,100,606.3,170.9,100
2,3,1,0,255.8468468,117.8956783,110,207.4678899,131.4755755,100,498.0733945,253.1871595,100,673.2166667,309.8873232,0
2,4,2,0,202.45,51.83,102,196.68,61.2,102,139.38,149.55,132,180.98,210.48,106
1,2,5,0,226.17,57.46,100,243.83,70.91,100,307.19,108.05,100,518.61,219.53,129
1,2,4,0,178.8,30.8,121,159.2,27.2,136,335.2,99.2,106,525.3,181,115
1,2,4,0,168.56,17.47,105,143.02,20.54,106,428.47,125.48,140,561.08,164.85,152
1,4,4,0,220,58,56,188,31,62,374,121,107,486,147,117
1,5,1,0,185.53,36.1,140,189.93,52.3,85,302.21,88.79,224,413.2,116.3,237
1,5,2,0,205.8,40.391,55,171.636,36.78,58,328.824,72.699,108,449.63,110.453,108
1,4,2,0,215.7704918,84.17340639,80,180.7702703,43.67928178,74,427.9731544,136.837529,149,531.5430464,198.765086,151
1,3,1,0,198.47,37.66,125,158.87,34.12,117,289.23,89.62,105,472.56,197.36,100
1,1,2,0,205.98,31.69,100,173.12,26,100,378.12,129.67,100,444.75,120.91,100
1,3,4,0,212,65,107,184,42,107,356,99,136,567,235,175
1,4,1,0,219,26,60,196,24,60,374,136,129,417,109,169
1,1,1,1,262,90.5,104,202,61.2,120,434,138.5,97,506,137,119
1,4,1,5,214.18,45.01,61,195.23,41.28,60,405.79,111.73,104,500.39,149.03,108
2,2,3,5,213.78,54.46,100,191.2,35.24,100,554.81,170.43,100,761.4,420.75,100
2,1,3,4,224.716,53.863,60,219.483,34.463,60,330.209,80.041,110,463.225,163.997,111
2,2,5,1,212.6,40.8,86,170.3,35.9,66,322.9,107.8,108,447.3,131.1,135
2,4,3,2,248,51,129,214,45,138,500,55,141,524,59,126
1,3,1,5,203.17,23.32,53,170.65,18.39,55,276.53,65.8,140,389.33,117.45,130
1,3,3,4,309,84.9,50,216,59,50,632,200.54,50,700,202,50
1,2,1,2,203.71,59.77,100,180.37,92.99,100,459.76,144.96,104,610.35,169.91,104
1,1,1,5,195.08,56.083,100,165.89,28.16,120,331.42,77.9,100,418.44,120.718,100
2,5,1,2,221.3,21.2,97,177.7,21.6,101,426.5,170.7,100,477,172.1,100
1,4,4,5,250,87,132,195,64,112,448,146,100,523,170,243
1,4,3,4,212,48,105,187,49,105,342,115,108,527,173,108
2,1,2,5,187.83,34.99,100,177.71,53.42,100,450.87,109.17,100,507.92,121.31,100
1,2,1,4,220,79,142,190,77,101,322,80,106,402,119,124
1,3,1,3,197,31.7,100,147,45.8,100,323,79,100,434,107,100
1,4,1,5,169.62,34.6929,82,174.875,32.482,64,329.9509803,84.4661873,102,460.757009,121.03748,107
1,1,5,2,183,15.7,230,140,7,400,247,22,200,289,35,200
1,1,1,1,224.84,50.27319763,100,162.71,30.07367453,100,361.48,87.607817,100,399.12,99.81044835,100
1,3,5,5,209.6,63.6,116,172,45.1,109,305.6,118.7,113,402,152.5,104
1,1,1,5,214.92,51.73,100,173.06,37.03,100,302.97,87.13,100,407.6,124.78,100
1,5,1,2,210.64,36.97,112,182.06,51.11,107,238.27,21.23,115,259.33,62.5,106
1,1,2,1,195.74,44.3,124,186.74,63.11,95,356.29,101.34,169,449.76,133.21,121
1,3,1,2,179,29.6,100,163,40.6,100,370,118,100,373,108,100
2,1,1,3,193.31,31.726,119,171.99,33.914,104,452.49,129.305,109,477.81,119.753,161
2,3,1,1,207,50,114,163,43,114,419,130,110,584,147,110
1,1,2,2,404,136,53,394,96,92,484,140,112,474,128,111
1,3,1,5,193.7407407,70.5711317,100,162.5445544,45.9856897,100,160.6604478,171.023304,134,218.524,235.9107997,125
2,1,1,1,235.7,60.95,108,188.5,45.91,113,330.1,71.11,111,529.7,131.8,105
2,1,3,1,245.36,50.24,100,174.43,37.7,100,354.11,92.32,100,448.65,120.59,100
1,2,4,5,234.11,61.35,126,199.85,46.74,108,433.23,141.23,125,576.58,188.65,149
1,5,1,3,220.08,40.783,130,160.25,38.9,120,400.39,100.35,100,500,120,200
1,2,3,2,225.62,98.62,100,178.78,66.79,100,424.95,150.11,100,547.42,181.57,100
1,1,3,5,179.09,31.02,64,161.23,30.16,62,285.99,77.95,151,372.91,139.9,106
2,5,3,1,244.17,29.75,110,213.3,23.64,110,379.5,137.97,110,485.69,139.55,110
2,3,2,2,210.91,41.85,100,182.4,49.7,100,354.79,108.81,100,504.1,166.57,100
2,1,1,5,211.66,30.72,121,192.61,33.7,119,393.14,108.62,134,507.72,160.87,115
1,5,4,1,251.37,105.7,135,220.19,81.13,120,442.45,135.65,215,495.3,165.68,340
1,4,1,4,238.352,61.017,145,179.082,57.141,145,324.04,100.702,100,382.2,120.702,100
1,4,4,4,213,49,100,180,46,100,0,0,0,0,0,0
2,1,4,1,247.859,38.562,57,209.052,35.356,60,411.955,109.472,112,544.394,160.478,109
2,1,3,1,209.31,13.45,75,172.37,21.21,75,370.37,76.9,130,419.11,86.41,150
2,4,4,1,218,44,110,177,41.9,110,479,228,110,576,228,110
1,5,3,2,213.25,24.94288476,100,190.15,23.42407949,100,363.51,67.77396181,100,470.09,92.02109486,100
2,2,4,1,243,79.9,108,223,71.8,110,393,105,102,429,149,111
2,5,1,2,226,56,120,211,62,114,287,52,109,311,58,118
2,3,4,1,232,42,80,217,58,90,434,138,101,596,172,110
2,2,1,1,221.1,22,100,203.4,49,100,340,70,100,440,89,100
2,3,3,1,230.034,55.269,118,209.783,51.129,120,360.048,92.059,124,442.851,139.629,121
2,1,2,5,287,80,78,256,68,102,392,112,106,474,126,110
1,1,2,5,367.83,96.87,200,157.03,32.8,200,302.1,86.1,200,378.03,96.55,200
2,2,4,3,205.9,47,100,191.2,48,100,431,0,100,558,0,100
1,3,3,4,202.17,38.453,128,180.29,27.432,108,0,0,0,0,0,0
2,1,2,4,197.829,27.532,111,146.299,40.437,134,313.582,108.025,146,380.459,105.079,136
1,5,2,4,205,21,51,181,24,52,338,83,135,438,109,126
1,1,5,4,196,47,50,173,34,50,324,97,100,432,152,100
1,4,1,4,232,79,100,176,47,100,407,130,100,507,127,100
1,5,1,4,213.04,53.02,107,193.55,55.06,107,495.54,329.55,102,546.47,217.08,143
1,1,1,3,204.7,34.4,100,179,56.5,100,355.4,115.1,31,446.2,129.9,33
2,3,3,3,232.7,54.1,113,201.8,26.9,120,525.1,215.3,103,719.6,217.9,111
1,3,3,4,212,54.6,117,209,59.5,115,0,0,0,375.73,80.3,112
2,2,3,4,224.02,48.08,100,194.84,46.05,100,397.26,118,100,468.57,126.64,100
1,4,1,5,201.4,57.57,100,171.04,60.01,100,245.44,37.75,100,311.47,71.17,100
1,2,2,3,215,67.83,112,207.3,47.7,104,430.1,168.3,100,625.2,130.18,123
1,3,3,3,222.93,43.06,130,182.89,40.26,161,364.53,104.32,152,423.29,115.12,136
1,3,3,3,200.9,25.4,100,185.7,29.3,100,284.5,61.9,100,354.3,80.4,100
1,3,3,3,200.9,25.4,100,185.7,29.3,100,284.5,61.9,100,354.3,80.4,100
2,1,1,4,241.8,80.9,150,184.9,52.89,150,193.47,219.97,150,216.69,235.93,150
1,2,1,2,232.36,48.04,112,207.78,51.45,135,391.07,67.33,122,432.83,92.61,164
1,3,5,5,168.38,31.4,100,160.8,45.2,100,295.9,78.1,100,363.9,113,100
1,4,5,1,232.1,72,100,176.3,60,100,397,108,100,466,145,100
1,4,4,4,222.6,74.53,100,197.6,46.08,100,384.6,91.28,100,507.7,158.13,100
1,3,3,1,276.95,103.44,107,212.3,72.5,107,356.8,133.12,109,550.6,180.57,106
1,2,3,1,214.85,47.49,52,198.57,49.27,53,340.58,148.7,102,497.24,162.19636,104
1,3,1,5,239.118,52.921,127,211.231,67.418,108,363.603,84.422,111,451.26,147.5,119
1,3,3,5,218.04,55.949,100,183.49,49.325,100,315.38,83.663,100,400.23,90.606,150
2,2,4,5,215.65,52.49,104,195.38,63.49,100,300.42,84.35,106,380.6,116.23,100
1,4,2,5,220,30,50,235,51,50,392,125,100,475,150,100
2,1,1,2,236,42,98,209,46,136,365,97,156,605,213,175
2,5,5,5,221.63,47.95,100,181.79,57.53,100,291.56,61.95,100,383.86,99.79,100
1,1,1,5,182.53,35.41,102,162.5,33.6,102,324.84,77.64,101,448.07,110.59,101
1,1,1,1,227.9,52.3,105,211.5,65.6,106,399.7,122.5,122,474.1,132.2,112
1,4,4,3,155,34.5,76,195,34.9,84,291,71.4,113,408,121,117
1,1,2,2,197.9,54.7,107,199.4,38.3,100,0,0,0,0,0,0
1,3,3,5,211,59.6,100,187,43.7,100,309,64.3,112,396,90.6,144
2,1,2,1,212,41.7,104,226,68,104,492,161,124,560,135,125
1,2,4,3,217.4,64.98,150,174.59,63.23,155,349.93,120.88,120,452.07,177.84,110
1,3,1,3,203.7,57.8,100,196.3,53.6,50,392.4,124.7,100,576.4,206.3,100
1,2,2,1,176,25.8,104,155,26.5,128,355,125.3,136,493,148.7,150
1,4,1,5,234.75,41.67,100,197.13,59.4,100,387.74,173.94,100,566.64,166.82,100
2,1,1,1,293.5,120.5,55,182.05,46.8,60,360.77,100.6,100,463.6,148.3,102
1,2,3,1,241,62,110,199,65,110,331,77,100,444,141,102
2,2,3,3,198.5,44.4,104,196.7,70.6,92,351.6,113.5,189,601.4,236.5,201
1,3,2,5,203.529,42.724,85,171.067,44.406,105,309.009,68.643,117,370.168,70.464,119
2,1,1,2,220.3595,55.7191,89,212.414,64.0371,94,421.1941,117.3241,103,531.803,151.4162,132
1,4,4,1,194.16,31.74,109,184.09,43.71,100,376,146,100,465,171,100
1,2,1,3,180.66,34.85,100,177.7,38.05,100,355.49,90.5,100,427.01,110.24,100
2,3,1,1,372.44,152,160,237,70,110,338.4,134,165,500.14,207,160
1,1,2,4,189.7,41.25,105,175.8,43.27,105,306.3,96.73,105,387,91.72,105
1,4,4,4,221.62,67.43,100,225.52,68.48,100,523.09,159.07,100,678.99,265.6,100
1,1,2,4,189.7,41.25,105,175.8,43.27,105,306.3,96.73,105,387,91.72,105
1,3,2,2,186.8,47.1,106,155.8,38.2,69,288.5,85.1,106,362.1,113.6,106
1,1,2,4,216.82,44.203,50,203.86,50.023,50,299.791,86.414,129,432.663,116.789,101
1,3,1,3,206.56,36.325,68,181.05,42.24,62,414.1,145.1,40,302.9,86.8,42
2,2,4,1,220.8623853,43.8434387,109,194.2110092,41.27910669,109,369.5153846,110.358523,130,435.047619,111.8076904,105
1,3,1,4,193.38,86.58,105,178.08,142.13,108,330.72,93.67,110,394.95,114.75,121
1,5,2,4,226.32,63.94,104,184.59,47.61,86,323.64,105.35,97,394.5,77.78,122
2,2,1,1,185,21.5,100,162.5,26,100,326.3,94.8,100,439.3,114.4,100
1,2,5,4,210,20,20,180,32,20,223,18,20,235,41,20
2,2,1,1,206.72,30.91,116,175.62,37.23,68,351.18,108.59,118,471.27,109.11,250
1,1,4,4,164,18.9,105,155,37.2,105,307,76,108,427,145,109
1,1,3,5,253,75,103,221,59,112,375,123,116,489,191,118
2,5,4,1,237.8,52.339,100,187.16,27.796,100,362.1,132.1,100,501.8,187.9,100
2,1,4,1,213.6,29.6,150,177.4,20,130,319.8,79.8,120,392.6,79.7,170
2,2,4,3,254.64,64.43,100,245.22,75.76,100,380.29,119.62,100,451.68,113.08,100
1,5,1,1,253.453,62.309,79,180.173,31.03,75,304.72,72.513,104,334.391,93.749,115
1,5,1,2,201.12,36.34,100,156.04,19,100,318.13,79.66,100,423.99,102.7,100
1,3,4,5,215.5,126.2,120,193.4,43.2,115,340.5,93.6,113,443.4,132.06,146
2,1,3,1,206.028,37.311,107,180.336,28.685,107,336,91.627,120,394.85,102.184,120
1,1,2,5,224,90,105,235,84,84,348,89,100,442,104,100
1,1,3,3,195.97,54.53,120,222.68,63.34,120,335.08,90.97,120,453.5,119.51,120
2,1,5,1,191,25,110,173,18,110,211,26,110,231,32,110
1,5,2,2,217.7,26.8,107,202.1,34.4,112,436.2,148.3,54,601.7,270.9,61
2,2,1,2,161.1,41.9,100,132.2,31.69,100,365.48,110.2,100,532.75,222.09,100
2,3,1,3,186.94,23.32,101,158.6,22.71,100,280.81,40.99,104,374.11,65.94,102
1,5,1,2,222.46,99.17,116,176.4,81.38,94,0,0,0,0,0,0
2,1,1,1,180.05,22.26,103,157.5,24.4,107,349.99,77.78,104,429.26,109.77,107
2,3,2,2,210.91,41.85,100,182.4,49.7,100,354.79,108.81,100,504.1,166.57,100
2,5,5,1,235.9,89.4,20,228.3,54.4,20,339.9,94.6,20,461.6,134.7,20
1,3,1,4,206,31.7,100,173.1,26,100,378.1,129.7,100,444.7,120.9,100
1,2,2,5,215.3875,84.17340639,80,180.7702703,43.67928178,61,427.9731544,136.837529,149,531.5430464,198.765086,151
1,4,2,3,166.8571429,44.14613179,133,158.0977444,27.90020964,133,378.8682171,143.1896181,129,490.7318841,187.4962997,138
2,1,1,1,201,49,102,168,34,102,489,141,112,672,189,104
1,1,5,5,232.89,35.9,167,218.34,45.71,155,417.09,162.04,104,418.69,130.85,162
1,1,1,5,289.48,131.184182,75,208.2698413,80.5641234,63,382.3057851,120.0424748,121,523.8181818,231.0617963,121
1,1,3,3,236.9,54.2,119,217.8,58.4,131,314.4,91.1,116,385.1,104.6,158
1,3,4,4,207.62,32.34,100,174.61,64.21,100,403,102,100,479,114,100
1,5,5,4,225,70,234,180,53,211,434,157,298,567,236,301
2,1,2,1,228.058,40.878,52,195.453,62.099,53,0,0,0,0,0,0
1,5,4,5,198.61,52.76,100,181.54,38.43,100,362.31,111.23,100,452.83,189.1,100
1,3,5,5,199.2,46.7,100,156.5,44.25,80,400,110.3,100,447.8,150.4,100
1,4,1,4,215,45,100,170,30,100,323,100,100,460,140,120
2,1,3,1,204.764,36.333,100,187.645,66.477,100,294.782,101.877,100,429.344,256,100
1,5,5,4,283.15,94.16,100,268.11,74.05,100,626.74,218.78,100,792.01,261.45,100
2,2,1,5,243.54,105.5,101,202.25,102.38,100,418.63,148.574,102,510.95,175.616,115
1,2,1,2,202.3,99.1,120,237.7,140.8,120,368.8,127.9,143,562.3,257.1,143
1,1,1,4,238.5,50.89,55,169.66,104.66,51,438.79,121.5,100,520.74,129.2,100
2,3,4,1,240.37,45.8,100,221.01,20.51,100,407.01,96.34,100,468.84,95.61,100
1,3,5,5,223,74,100,179,46,100,352,91,100,476,158,100
1,5,1,5,218.46,49.61,100,197.44,60.4,100,358.68,101,100,510.59,142.47,100
1,2,4,1,145,13,200,114,7,100,240,33,300,325,46,100
2,1,1,1,236.9,58.2,100,200.7,47.3,100,687.5,292.8,100,859.3,505.7,100
2,3,1,2,192.85,20.45,100,165.31,26.01,100,354.1,85.4,100,494.9,116.8,100
1,3,2,3,240,42,100,170,31,120,312.2,25.3,100,356.21,24.5,100
1,4,4,5,237,78,50,229,110,50,438,135,50,559,137,50
1,1,1,3,308,101,50,259,122,50,421,143,172,574,218,174
1,2,5,1,238.867,32.226,60,212.883,40.13,60,602.7,119.692,100,703.204,135.65,103
2,4,1,1,254,90.08,100,203.7,56.95,100,367.4,126.65,100,467.37,107.1,100
2,1,5,1,233,58.6,113,195.9,55,105,410.4,125.8,195,501.5,161,214
1,1,2,4,216.82,44.203,50,203.86,50.023,50,299.791,86.414,129,432.663,116.789,101
2,1,2,1,219,75,67,224,85,67,370,87,109,541,141,112
1,4,2,4,228,74,104,198,84,98,398,145,101,513,239,110
1,3,5,5,174.22,15.93,100,144.63,17.31,100,303.9,64.46,100,368.57,84.08,150
2,1,1,1,202.82,38.12,100,191.65,59.22,100,318.97,131,100,432.69,157.37,100
2,2,1,1,252.7,81.8,100,249.9,67.2,100,461.5,134.7,100,647.1,230.3,100
2,1,1,1,227,64,100,177,57,100,495,285,100,546,227,100
1,4,2,5,214,49,150,207,52,150,347,102,250,475,109,250